pemda,nama_pemda,jenis_pemda,risiko_defisit,risiko_mandatory_spending,risiko_keselarasan,cluster
BIAK NUMFOR,KAB. BIAK NUMFOR,KABUPATEN,102.32636343050679,10.967114380107269,19.67258573452487,1
BIMA,KAB. BIMA,KABUPATEN,101.67121275676988,7.817760742689177,24.473983394151876,1
BINTAN,KAB. BINTAN,KABUPATEN,103.50045639938692,7.36177769165811,23.078968091399357,1
BIREUEN,KAB. BIREUEN,KABUPATEN,100.63819670910472,6.256759561715665,21.420824396175718,1
BLITAR,KAB. BLITAR,KABUPATEN,102.9910144787745,6.482248815679656,24.21077680048961,1
BLORA,KAB. BLORA,KABUPATEN,110.04953147512228,6.476423143070962,20.816678017349304,1
BOALEMO,KAB. BOALEMO,KABUPATEN,100.08788341689238,0.0,24.34367195003506,1
BOGOR,KAB. BOGOR,KABUPATEN,108.10399787753397,26.23378671613365,18.625880084732756,3
BOJONEGORO,KAB. BOJONEGORO,KABUPATEN,143.3811494037246,6.231245560541442,12.519620034041093,5
BOLAANG MONGONDOW,KAB. BOLAANG MONGONDOW,KABUPATEN,102.70434943559594,8.21351976561958,23.54614136268531,1
BOLAANG MONGONDOW SELATAN,KAB. BOLAANG MONGONDOW SELATAN,KABUPATEN,100.92950466188017,0.0,21.492451897109866,1
BOLAANG MONGONDOW TIMUR,KAB. BOLAANG MONGONDOW TIMUR,KABUPATEN,101.99210531618601,12.028252995143973,23.029112633864816,4
BOLAANG MONGONDOW UTARA,KAB. BOLAANG MONGONDOW UTARA,KABUPATEN,101.94048849301387,12.833063355700638,23.041059002698198,4
BOMBANA,KAB. BOMBANA,KABUPATEN,103.39962426088887,8.250497623004701,16.66495819245338,1
BONDOWOSO,KAB. BONDOWOSO,KABUPATEN,102.3877571676348,7.560825686762833,27.12087385377241,2
BONE,KAB. BONE,KABUPATEN,116.78011799029247,7.621904369326153,23.12187743521845,0
BONE BOLANGO,KAB. BONE BOLANGO,KABUPATEN,99.9968556347622,7.806753128571279,24.97248859895637,1
BOVEN DIGOEL,KAB. BOVEN DIGOEL,KABUPATEN,0.0,0.0,0.0,1
BOYOLALI,KAB. BOYOLALI,KABUPATEN,0.0,0.0,25.821704300073186,1
BREBES,KAB. BREBES,KABUPATEN,0.0,0.0,21.286086236528554,1
BULELENG,KAB. BULELENG,KABUPATEN,102.3680429314493,10.148098819066433,25.565670710701994,4
BULUKUMBA,KAB. BULUKUMBA,KABUPATEN,107.80299683564571,6.652096009239511,22.83261672364219,1
BULUNGAN,KAB. BULUNGAN,KABUPATEN,101.59020154354246,12.803902629663094,23.83427511792719,4
BUNGO,KAB. BUNGO,KABUPATEN,100.41152423682738,8.42079644158108,25.594078107599465,2
BUOL,KAB. BUOL,KABUPATEN,100.96295672658617,7.870560517610429,25.652897085377255,2
BURU,KAB. BURU,KABUPATEN,99.31363051871607,7.8457417926966135,22.159491709718623,1
BURU SELATAN,KAB. BURU SELATAN,KABUPATEN,102.45629296878411,5.60434156092002,16.364891694848595,1
BUTON,KAB. BUTON,KABUPATEN,98.63975506342723,8.197804871781596,22.51097668521504,1
BUTON SELATAN,KAB. BUTON SELATAN,KABUPATEN,97.44590974960005,9.025372189159647,18.258037219255257,1
BUTON TENGAH,KAB. BUTON TENGAH,KABUPATEN,107.24397840116583,9.89193598465829,20.442875223724684,1
BUTON UTARA,KAB. BUTON UTARA,KABUPATEN,130.30814680371014,5.912469448115662,14.3629266495223,5
CIAMIS,KAB. CIAMIS,KABUPATEN,0.0,0.0,0.0,1
CIANJUR,KAB. CIANJUR,KABUPATEN,100.89048894358874,16.481256520361065,26.551762962047505,4
CILACAP,KAB. CILACAP,KABUPATEN,0.0,0.0,22.509684380606306,1
CIREBON,KAB. CIREBON,KABUPATEN,102.98114978835578,32.03454926014881,24.42908260842554,3
DAIRI,KAB. DAIRI,KABUPATEN,103.29756130381276,8.197042665845462,24.181671866270708,1
DEIYAI,KAB. DEIYAI,KABUPATEN,92.76480910597168,8.929444508037648,16.11248964767372,1
DELI SERDANG,KAB. DELI SERDANG,KABUPATEN,100.64246931306936,9.412440822039713,25.012594327695,4
DEMAK,KAB. DEMAK,KABUPATEN,104.44195543058055,8.14982405584171,21.94874106945691,1
DHARMASRAYA,KAB. DHARMASRAYA,KABUPATEN,106.7427333273699,8.39509647824159,23.762625772975216,1
DOGIYAI,KAB. DOGIYAI,KABUPATEN,0.0,0.0,12.40880333891068,1
DOMPU,KAB. DOMPU,KABUPATEN,102.51755995025238,7.111596426422883,24.960567370317847,1
DONGGALA,KAB. DONGGALA,KABUPATEN,99.67339375981422,8.097731856176464,23.775442956958614,1
EMPAT LAWANG,KAB. EMPAT LAWANG,KABUPATEN,99.80184327714245,10.348317940034043,18.030356833326884,1
ENDE,KAB. ENDE,KABUPATEN,110.51237347917765,11.06902444113092,21.501990495526563,1
ENREKANG,KAB. ENREKANG,KABUPATEN,93.44456400536497,10.238188754769531,26.188455396531577,4
FAK FAK,KAB. FAK FAK,KABUPATEN,107.16756125848687,0.0,20.396285266361737,1
FLORES TIMUR,KAB. FLORES TIMUR,KABUPATEN,99.6474483757067,0.0,24.313556527407066,1
GARUT,KAB. GARUT,KABUPATEN,104.39418286385921,8.410682672023862,22.89932673731743,1
GAYO LUES,KAB. GAYO LUES,KABUPATEN,99.75467894629631,9.229594850753394,19.615210806702933,1
GIANYAR,KAB. GIANYAR,KABUPATEN,106.67676570584517,8.659626262558291,16.67739472744403,1
GORONTALO,KAB. GORONTALO,KABUPATEN,108.53228697739343,5.496991307025799,22.850199802567275,1
GORONTALO UTARA,KAB. GORONTALO UTARA,KABUPATEN,128.53204342347874,10.337940695550213,18.5045622024463,0
GOWA,KAB. GOWA,KABUPATEN,111.50149062398427,9.410873556760016,23.92279882505472,1
GRESIK,KAB. GRESIK,KABUPATEN,107.07577663522953,8.886831436578136,17.90740051754839,1
GROBOGAN,KAB. GROBOGAN,KABUPATEN,105.22744471083494,7.491945396056545,22.086148436204333,1
GUNUNG KIDUL,KAB. GUNUNG KIDUL,KABUPATEN,104.2360798268519,29.41161305626639,24.677180882568962,3
GUNUNG MAS,KAB. GUNUNG MAS,KABUPATEN,108.14438312612768,8.43195245523066,23.108772268059937,1
HALMAHERA BARAT,KAB. HALMAHERA BARAT,KABUPATEN,123.74027055227408,0.0,17.584234573340566,1
HALMAHERA SELATAN,KAB. HALMAHERA SELATAN,KABUPATEN,97.08039687636646,9.83212386027314,17.960904529878974,1
HALMAHERA TENGAH,KAB. HALMAHERA TENGAH,KABUPATEN,115.18962775810384,7.956721709381251,9.627162767406649,1
HALMAHERA TIMUR,KAB. HALMAHERA TIMUR,KABUPATEN,104.40005182022878,0.0,18.838601377199396,1
HALMAHERA UTARA,KAB. HALMAHERA UTARA,KABUPATEN,104.69936971610376,0.0,18.51486035401915,1
HULU SUNGAI SELATAN,KAB. HULU SUNGAI SELATAN,KABUPATEN,113.25136879811284,11.1075858967855,26.75312475080129,4
HULU SUNGAI TENGAH,KAB. HULU SUNGAI TENGAH,KABUPATEN,115.38238947237072,10.872070191434378,21.305797276631537,0
HULU SUNGAI UTARA,KAB. HULU SUNGAI UTARA,KABUPATEN,131.3303379487718,10.588953547330386,23.71141851080479,0
HUMBANG HASUNDUTAN,KAB. HUMBANG HASUNDUTAN,KABUPATEN,102.84260483960783,7.603754817176462,23.499700594899473,1
INDRAGIRI HILIR,KAB. INDRAGIRI HILIR,KABUPATEN,111.91205390123467,5.043831962684566,23.94464552592864,1
INDRAGIRI HULU,KAB. INDRAGIRI HULU,KABUPATEN,109.35372096147273,5.882396471979185,25.5715305256576,0
INDRAMAYU,KAB. INDRAMAYU,KABUPATEN,102.0976147741515,7.51577294360077,22.863813418669594,1
INTAN JAYA,KAB. INTAN JAYA,KABUPATEN,99.90300599720791,5.149569535987528,13.554758490364586,1
JAYAPURA,KAB. JAYAPURA,KABUPATEN,106.88619305450813,6.975232059646429,16.62935656202125,1
JAYAWIJAYA,KAB. JAYAWIJAYA,KABUPATEN,105.24073280901783,10.70399771008994,17.44829015778355,1
JEMBER,KAB. JEMBER,KABUPATEN,115.38758264589055,8.061645396436797,20.420503623732877,1
JEMBRANA,KAB. JEMBRANA,KABUPATEN,103.55447230194707,8.825290536124026,21.6355505164893,1
JENEPONTO,KAB. JENEPONTO,KABUPATEN,100.08263196200488,9.145899081373823,27.987034513073866,4
JEPARA,KAB. JEPARA,KABUPATEN,106.8665424288412,11.281671838839728,24.38994206166804,4
JOMBANG,KAB. JOMBANG,KABUPATEN,105.72797037628467,14.40755136265507,26.243540035026733,4
KAIMANA,KAB. KAIMANA,KABUPATEN,110.14420841150712,5.780514919280527,14.367835187675464,1
KAMPAR,KAB. KAMPAR,KABUPATEN,102.3325145287019,9.299728259400641,24.037650468728078,1
KAPUAS,KAB. KAPUAS,KABUPATEN,112.96655286968517,6.2115570048813336,18.020464635702417,1
KAPUAS HULU,KAB. KAPUAS HULU,KABUPATEN,101.27642532792571,6.741241398302689,18.39083342092173,1
KARANGANYAR,KAB. KARANGANYAR,KABUPATEN,100.8297633592589,6.541262779629236,24.214476566133293,1
KARANGASEM,KAB. KARANGASEM,KABUPATEN,103.0756777744392,8.611946255537347,27.02870504467578,4
KARAWANG,KAB. KARAWANG,KABUPATEN,103.87045324602244,8.535546210718975,21.37528752530502,1
KARIMUN,KAB. KARIMUN,KABUPATEN,102.92674170381824,5.905166978251248,18.318709687838222,1
KARO,KAB. KARO,KABUPATEN,100.74716821038156,5.81836951514661,24.345721133326933,1
KATINGAN,KAB. KATINGAN,KABUPATEN,114.07992339684962,7.551030119068411,20.03079371545622,1
KAUR,KAB. KAUR,KABUPATEN,0.0,0.0,21.413911432282667,1
KAYONG UTARA,KAB. KAYONG UTARA,KABUPATEN,102.7598457738959,9.773773934725927,21.90501765395392,1
KEBUMEN,KAB. KEBUMEN,KABUPATEN,103.55760320261302,5.77185041343535,24.211378908939306,1
KEDIRI,KAB. KEDIRI,KABUPATEN,114.95958346359876,6.733511495466988,20.359438506768797,1
KEEROM,KAB. KEEROM,KABUPATEN,97.6025876979433,6.621553674920713,17.915204983970526,1
KENDAL,KAB. KENDAL,KABUPATEN,0.0,0.0,23.52283723880548,1
KEP. SIAU TAGULANDANG BIARO,KAB. KEP. SIAU TAGULANDANG BIARO,KABUPATEN,103.26157302637102,0.0,23.09737344341805,1
KEPAHIANG,KAB. KEPAHIANG,KABUPATEN,108.51603444669638,6.297838850487205,22.956465198767376,1
KEPULAUAN ANAMBAS,KAB. KEPULAUAN ANAMBAS,KABUPATEN,103.24025244869108,5.696922107586014,21.692234152977285,1
KEPULAUAN ARU,KAB. KEPULAUAN ARU,KABUPATEN,100.42214171814237,8.312413278427265,17.124315780266333,1
KEPULAUAN MENTAWAI,KAB. KEPULAUAN MENTAWAI,KABUPATEN,0.0,0.0,20.44630303025811,1
KEPULAUAN MERANTI,KAB. KEPULAUAN MERANTI,KABUPATEN,120.97696189617069,5.370400615960687,16.584597732224974,1
KEPULAUAN SELAYAR,KAB. KEPULAUAN SELAYAR,KABUPATEN,107.36722065905744,0.0,18.918007846682634,1
KEPULAUAN SULA,KAB. KEPULAUAN SULA,KABUPATEN,103.38702581818413,8.527964967569151,21.29353828393921,1
KEPULAUAN TALAUD,KAB. KEPULAUAN TALAUD,KABUPATEN,110.24652386045055,14.877352893170643,22.600667629861483,4
KEPULAUAN TANIMBAR,KAB. KEPULAUAN TANIMBAR,KABUPATEN,109.32531878816339,7.400569537104218,18.485270544993885,1
KEPULAUAN YAPEN,KAB. KEPULAUAN YAPEN,KABUPATEN,118.6685580379508,7.655240244235719,16.013096566575953,1
KERINCI,KAB. KERINCI,KABUPATEN,101.41147371871972,5.866162961102453,23.714934325678236,1
KETAPANG,KAB. KETAPANG,KABUPATEN,104.43557198984672,8.405666294740819,21.244673274113286,1
KLATEN,KAB. KLATEN,KABUPATEN,0.0,0.0,25.43309152590425,1
KLUNGKUNG,KAB. KLUNGKUNG,KABUPATEN,124.7099780240703,8.924607592404051,22.16534217690873,0
KOLAKA,KAB. KOLAKA,KABUPATEN,100.32836825233191,11.076578773664407,23.943060207062416,4
KOLAKA TIMUR,KAB. KOLAKA TIMUR,KABUPATEN,108.4259825854596,8.598038923287923,18.328142437604264,1
KOLAKA UTARA,KAB. KOLAKA UTARA,KABUPATEN,103.06427127299295,7.140847021682822,20.64883556810105,1
KONAWE,KAB. KONAWE,KABUPATEN,97.8255199734939,6.2435674014558415,20.57955958800182,1
KONAWE SELATAN,KAB. KONAWE SELATAN,KABUPATEN,118.5800255124994,16.987775282073695,20.515239735955134,3
KONAWE UTARA,KAB. KONAWE UTARA,KABUPATEN,130.19442251158583,4.875114523973794,15.37955707764413,5
